City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Navrongo,GH,2021-09-23 22:54:21,10.8956,-1.0921,79.03,76,100,5.59
279,Karasjok,NO,2021-09-23 22:54:21,69.4719,25.5112,41.11,92,100,10.6
280,Puerto Colombia,CO,2021-09-23 22:54:22,10.9878,-74.9547,84.29,80,100,3.15
281,Sitangkai,PH,2021-09-23 22:54:23,4.6628,119.3928,82.17,77,95,9.22
282,Capoterra,IT,2021-09-23 22:54:23,39.1763,8.9718,74.91,73,0,3.44
283,Buraydah,SA,2021-09-23 22:54:24,26.326,43.975,84.65,17,12,6.71
284,Plouzane,FR,2021-09-23 22:54:24,48.3833,-4.6167,59.32,94,90,5.75
285,Broken Hill,AU,2021-09-23 22:54:25,-31.95,141.4333,62.31,36,31,9.22
286,Manhattan,US,2021-09-23 22:54:25,40.7834,-73.9662,78.13,89,90,4.61
287,Caravelas,BR,2021-09-23 22:54:26,-17.7125,-39.2481,70.09,73,20,11.14
288,Palmeiras De Goias,BR,2021-09-23 22:54:26,-16.805,-49.9258,91.11,23,81,9.86
289,Margate,GB,2021-09-23 22:54:27,51.3813,1.3862,61.7,89,11,1.01
290,Warri,NG,2021-09-23 22:54:16,5.5167,5.75,77.4,89,98,2.8
291,Urengoy,RU,2021-09-23 22:54:28,65.9667,78.3667,33.17,79,87,10.29
292,Luanda,AO,2021-09-23 22:54:28,-8.8368,13.2343,72.63,86,95,9.46
293,Bukama,CD,2021-09-23 22:54:29,-9.2,25.85,77.32,25,59,2.35
294,Laguna,US,2021-09-23 22:54:29,38.421,-121.4238,99.43,22,1,1.99
