City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
203,Mpanda,TZ,76.62,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
204,Salta,AR,82.58,few clouds,-24.7859,-65.4117,Hotel Alejandro I
208,Atascadero,US,75.11,scattered clouds,35.4894,-120.6707,Holiday Inn Express Hotel & Suites Atascadero
211,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
214,Gela,IT,79.34,clear sky,37.0803,14.2307,B&B Santiago
215,Juba,SS,76.59,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
220,Cabo San Lucas,MX,94.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Bahia De Caraquez,EC,77.56,broken clouds,-0.6,-80.4167,Saiananda
239,Vanimo,PG,76.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
244,Prado,BR,76.64,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
245,Trairi,BR,84.06,clear sky,-3.2778,-39.2689,janelas do mar
247,Buritizeiro,BR,90.9,broken clouds,-17.3511,-44.9622,Santos Palace Hotel
248,Cozumel,MX,87.78,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
249,Hermosillo,MX,91.69,clear sky,29.0667,-110.9667,ibis Hermosillo
250,Hwange,ZW,82.02,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
252,Cabra,ES,76.44,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
261,Islamkot,PK,91.8,overcast clouds,24.6997,70.177,Haji Hotel
265,Teshie,GH,78.75,few clouds,5.5836,-0.1072,Adinkra Lodge
268,North Platte,US,89.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
271,Hobyo,SO,79.27,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
273,Chor,PK,91.9,overcast clouds,25.5167,69.7667,Asad U Bajeer Hotel
276,Mount Pleasant,US,86.07,few clouds,32.7941,-79.8626,Best Western Patriots Point
277,Itaguai,BR,85.68,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
278,Tezu,IN,75.06,broken clouds,27.9167,96.1667,Circuit House
281,Marrakesh,MA,82.47,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
282,Dhidhdhoo,MV,82.4,broken clouds,6.8833,73.1,Dhidhoo beach
285,Catamarca,AR,87.49,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
289,Ballesteros,PH,80.08,light rain,18.4126,121.5152,Ogalino's Hotel
295,Yulin,CN,77.29,light rain,22.6333,110.15,罗弟天海大厦
301,Danville,US,85.33,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
303,Sao Gabriel Da Cachoeira,BR,90.81,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
312,Wilmington,US,86.0,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
323,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
324,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
